"","id","name","type","links","acronyms","established_year","created_date","city","city_id","state","ror"
"766","https://ror.org/049nrz535","Department of Scientific and Industrial Research","Government; Funder","http://dsir.csir.res.in/webdsir/","DSIR",1961,"2018-11-14","New Delhi",1261481,"Delhi","049nrz535"
"767","https://ror.org/01ra53y91","Aditya Birla Memorial Hospital","Healthcare","http://www.adityabirlahospital.com/","ABMH",NA,"2018-11-14","Pune",1259229,"Maharashtra","01ra53y91"
"768","https://ror.org/03tjs3938","BLK Super Speciality Hospital","Healthcare","http://www.blkhospital.com/","",1959,"2018-11-14","New Delhi",1261481,"Delhi","03tjs3938"
"769","https://ror.org/006p8df44","AMRI Hospitals","Healthcare","http://www.amrihospitals.in/","",1996,"2018-11-14","Kolkata",1275004,"West Bengal","006p8df44"
"770","https://ror.org/01ry3tb23","ACPM Dental College and Hospital","Education","http://acpmjmf.com/dental/index.html","",1990,"2018-11-14","Dhule",1272691,"Maharashtra","01ry3tb23"
"771","https://ror.org/04t9jdp81","BioGenex (India)","Company","http://biogenex.com/","",1981,"2018-11-14","Hyderabad",1269843,"Telangana","04t9jdp81"
"772","https://ror.org/01j511762","Armament Research and Development Establishment","Facility","https://www.drdo.gov.in/labs-and-establishments/armament-research-development-establishment-arde","ARDE",1958,"2018-11-14","Pune",1259229,"Maharashtra","01j511762"
"773","https://ror.org/01hcfbh13","Ashwini Hospital","Healthcare","http://www.ashwinihospital.in/","",1987,"2018-11-14","Pune",1259229,"Maharashtra","01hcfbh13"
"774","https://ror.org/03ma9wk70","AstraZeneca (India)","Company","https://www.astrazeneca.com/country-sites/india.html","AZ",1979,"2018-11-14","Bengaluru",1277333,"Karnataka","03ma9wk70"
"775","https://ror.org/05hmaqs06","Bapuji Dental College and Hospital","Education","http://www.bapujidental.edu/","",1979,"2018-11-14","Davangere",1273368,"Karnataka","05hmaqs06"
"776","https://ror.org/04jgpa018","Babasaheb Bhimrao Ambedkar Bihar University","Education","http://www.brabu.net/","",1960,"2018-11-14","Muzaffarpur",1262330,"Bihar","04jgpa018"
"777","https://ror.org/041137e25","Central Institute of Freshwater Aquaculture","Facility","http://www.cifa.in/","CIFA",1987,"2018-11-14","Bhubaneswar",1275817,"Odisha","041137e25"
"778","https://ror.org/03jc49e50","Darshan Dental College and Hospital","Education","http://darshandentalcollege.org/","",1999,"2018-11-14","Udaipur",1253986,"Rajasthan","03jc49e50"
"779","https://ror.org/05watjs66","Dr D Y Patil Dental College & Hospital","Education","http://dental.dpu.edu.in/","DYPDCH",2000,"2018-11-14","Pimpri",1259652,"Maharashtra","05watjs66"
"780","https://ror.org/04ce4rf90","Dr. Rajendra Prasad Government Medical College","Education","http://www.rpgmc.ac.in/","RPGMC",1958,"2018-11-14","Kangra",1268084,"Himachal Pradesh","04ce4rf90"
"781","https://ror.org/02d9k8j51","Employees' State Insurance Model Hospital","Healthcare","http://www.esihospital.org/","",NA,"2018-11-14","New Delhi",1261481,"Delhi","02d9k8j51"
"782","https://ror.org/00jqpet07","Fernandez Hospital","Healthcare","http://www.fernandezhospital.com/","",1948,"2018-11-14","Hyderabad",1269843,"Telangana","00jqpet07"
"783","https://ror.org/01x5rsx73","Educomp Solutions (India)","Company","http://educomp.com/","",1994,"2018-11-14","Gurugram",1270642,"Haryana","01x5rsx73"
"784","https://ror.org/02156y972","Eli Lilly (India)","Company","https://www.lillyindia.co.in/","",1876,"2018-11-14","Gurugram",1270642,"Haryana","02156y972"
"785","https://ror.org/05ap9rf45","G.B. Pant Institute of Himalayan Environment and Development","Government","http://gbpihed.gov.in/","GBPIHED",1988,"2018-11-14","Almora",1278974,"Uttarakhand","05ap9rf45"
"786","https://ror.org/04g9pp561","Fortis Hospital","Healthcare","https://www.fortismumbai.com/","",2002,"2018-11-14","Mumbai",1275339,"Maharashtra","04g9pp561"
"787","https://ror.org/04t1ycn35","G. Kuppuswamy Naidu Memorial Hospital","Healthcare","http://www.gknmhospital.org/","GKNM",1920,"2018-11-14","Coimbatore",1273865,"Tamil Nadu","04t1ycn35"
"788","https://ror.org/030nxya44","Indian Institute of Sugarcane Research","Facility","http://www.iisr.nic.in/","IISR",1952,"2018-11-14","Lucknow",1264733,"Uttar Pradesh","030nxya44"
"789","https://ror.org/032kjn442","Indian Institute of Vegetable Research","Facility","http://www.iivr.org.in/","IIVR",1999,"2018-11-14","Varanasi",1253405,"Uttar Pradesh","032kjn442"
"790","https://ror.org/019wdt926","Himgiri Zee University","Education","http://www.himgirizeeuniversity.edu.in/","HZU",2003,"2018-11-14","Dehradun",1273313,"Uttarakhand","019wdt926"
"791","https://ror.org/01kmxkx53","Jain Irrigation Systems (India)","Company","http://www.jains.com/","JISL",1989,"2018-11-14","Jalgaon",1269410,"Maharashtra","01kmxkx53"
"792","https://ror.org/01pgfea66","Jammu Hospital","Healthcare","http://www.jammuhospital.com/","",2004,"2018-11-14","Jalandhar",1268782,"Punjab","01pgfea66"
"793","https://ror.org/008ny3111","K.S. Hegde Hospital","Healthcare","http://kshegdehospital.in/","",1998,"2018-11-14","Mangaluru",1263780,"Karnataka","008ny3111"
"794","https://ror.org/01pfs6p94","KM Shah Dental College and Hospital","Education","http://dental.sumandeepuniversity.co.in/","KMSDCH",1999,"2018-11-14","Vadodara",1253573,"Gujarat","01pfs6p94"
"795","https://ror.org/018fymd62","Kamla Nehru Memorial Hospital","Healthcare","http://knmhospital.org/","KNMH",1931,"2018-11-14","Prayagraj",1278994,"Uttar Pradesh","018fymd62"
"796","https://ror.org/05ty6nt57","Jaypee Hospital","Healthcare","http://www.jaypeehealthcare.com/","",NA,"2018-11-14","Noida",7279746,"Uttar Pradesh","05ty6nt57"
"797","https://ror.org/05bgpkm02","Krantisinh Nana Patil College of Veterinary Science","Education","http://www.knpvc.in/#","",1988,"2018-11-14","Shirwal",1256469,"Maharashtra","05bgpkm02"
"798","https://ror.org/04x5ap794","M. S. Ramaiah Dental College and Hospital","Education","http://www.msruas.ac.in/academics/dental_science","MSRDC",NA,"2018-11-14","Bengaluru",1277333,"Karnataka","04x5ap794"
"799","https://ror.org/039n2wf68","Kokilaben Dhirubhai Ambani Hospital","Healthcare","http://www.kokilabenhospital.com/","",NA,"2018-11-14","Mumbai",1275339,"Maharashtra","039n2wf68"
"800","https://ror.org/02xay1410","Mathrusri Ramabai Ambedkar Dental College & Hospital","Education","http://www.mradc.ac.in/","",1986,"2018-11-14","Bengaluru",1277333,"Karnataka","02xay1410"
"801","https://ror.org/00e7r7m66","Max Super Speciality Hospital","Healthcare","http://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-saket","MSSH",1985,"2018-11-14","Delhi",1273294,"Delhi","00e7r7m66"
"802","https://ror.org/01j77q308","Mata Chanan Devi Hospital","Healthcare","http://mcdh.in/index.aspx","MCDH",1968,"2018-11-14","New Delhi",1261481,"Delhi","01j77q308"
"803","https://ror.org/04n7kzx92","Megafine Pharma (India)","Company","http://www.megafine.in/","",1995,"2018-11-14","Mumbai",1275339,"Maharashtra","04n7kzx92"
"804","https://ror.org/03nw30958","Dr. Mehta's Children's Hospital","Healthcare","http://www.mehtachildrenshospitals.com/","",1933,"2018-11-14","Chennai",1264527,"Tamil Nadu","03nw30958"
"805","https://ror.org/04jxxwk32","KKR ENT Hospital and Research Institute","Healthcare","http://www.kkrenthospital.org/","",NA,"2018-11-14","Chennai",1264527,"Tamil Nadu","04jxxwk32"
"806","https://ror.org/04qe4s326","MediHope Super Specialty Hospital","Healthcare","http://www.medihopehospitals.com/","",NA,"2018-11-14","Bengaluru",1277333,"Karnataka","04qe4s326"
