"","State","Year","HDI"
"175","Bihar",2024,0.582
"176","Chandigarh",1990,0.636
"177","Chandigarh",1991,0.639
"178","Chandigarh",1992,0.646
"179","Chandigarh",1993,0.64
"180","Chandigarh",1994,0.635
"181","Chandigarh",1995,0.632
"182","Chandigarh",1996,0.631
"183","Chandigarh",1997,0.628
"184","Chandigarh",1998,0.626
"185","Chandigarh",1999,0.627
"186","Chandigarh",2000,0.628
"187","Chandigarh",2001,0.629
"188","Chandigarh",2002,0.632
"189","Chandigarh",2003,0.643
"190","Chandigarh",2004,0.649
"191","Chandigarh",2005,0.655
"192","Chandigarh",2006,0.661
"193","Chandigarh",2007,0.656
"194","Chandigarh",2008,0.65
"195","Chandigarh",2009,0.642
"196","Chandigarh",2010,0.639
"197","Chandigarh",2011,0.641
"198","Chandigarh",2012,0.638
"199","Chandigarh",2013,0.666
"200","Chandigarh",2014,0.697
"201","Chandigarh",2015,0.725
"202","Chandigarh",2016,0.755
"203","Chandigarh",2017,0.756
"204","Chandigarh",2018,0.749
"205","Chandigarh",2019,0.745
"206","Chandigarh",2020,0.745
"207","Chandigarh",2021,0.738
"208","Chandigarh",2022,0.751
"209","Chandigarh",2023,0.7515
"210","Chandigarh",2024,0.752
"211","Chhattisgarh",1990,0.563
"212","Chhattisgarh",1991,0.566
"213","Chhattisgarh",1992,0.571
"214","Chhattisgarh",1993,0.566
"215","Chhattisgarh",1994,0.562
"216","Chhattisgarh",1995,0.559
"217","Chhattisgarh",1996,0.557
"218","Chhattisgarh",1997,0.554
"219","Chhattisgarh",1998,0.552
"220","Chhattisgarh",1999,0.552
"221","Chhattisgarh",2000,0.553
"222","Chhattisgarh",2001,0.554
"223","Chhattisgarh",2002,0.557
"224","Chhattisgarh",2003,0.567
"225","Chhattisgarh",2004,0.573
"226","Chhattisgarh",2005,0.578
"227","Chhattisgarh",2006,0.584
"228","Chhattisgarh",2007,0.58
"229","Chhattisgarh",2008,0.573
"230","Chhattisgarh",2009,0.566
"231","Chhattisgarh",2010,0.563
"232","Chhattisgarh",2011,0.565
"233","Chhattisgarh",2012,0.562
"234","Chhattisgarh",2013,0.568
"235","Chhattisgarh",2014,0.578
